ID,目次,校区名,date,戦没地,名寄せ
38101,北九州市八幡東区,枝光,1945-12-23,ソロモン群島,ソロモン・ビスマルク諸島
38103,北九州市八幡東区,枝光,1944-10-24,台南高雄州,台湾
38104,北九州市八幡東区,枝光,1944-07-20,ビルマ,ビルマ方面
38105,北九州市八幡東区,枝光,1945-02-21,フィリピンルソン島,フィリピン方面
38106,北九州市八幡東区,枝光,1944-06-20,ビルマ,ビルマ方面
38107,北九州市八幡東区,枝光,1945-04-21,中支,中国
38109,北九州市八幡東区,枝光,1945-08-30,比島,フィリピン方面
38111,北九州市八幡東区,枝光,1944-09-14,中国雲南省,中国
38112,北九州市八幡東区,枝光,1944-07-18,ビルマ,ビルマ方面
38113,北九州市八幡東区,枝光,1945-06-10,フィリピンルソン島,フィリピン方面
38114,北九州市八幡東区,枝光,1945-02-07,ビルマ,ビルマ方面
38115,北九州市八幡東区,枝光,1944-10-18,比島マニラ西方沖,フィリピン方面
38116,北九州市八幡東区,枝光,1940-03-15,北支山西省,中国
38117,北九州市八幡東区,枝光,1945-08-01,北ボルネオ,ボルネオ
38118,北九州市八幡東区,枝光,1945-05-10,沖縄,沖縄
38119,北九州市八幡東区,枝光,1944-06-07,インド,インド方面
38120,北九州市八幡東区,枝光,1945-03-15,フィリピン,フィリピン方面
38121,北九州市八幡東区,枝光,1945-04-06,ビルマ,ビルマ方面
38122,北九州市八幡東区,枝光,1946-03-08,湖北省,中国
38123,北九州市八幡東区,枝光,1945-06-10,ビルマ,ビルマ方面
38124,北九州市八幡東区,枝光,1943-03-03,ニューギニア島沖,ニューギニア方面
38125,北九州市八幡東区,枝光,1945-05-09,南方方面,太平洋方面
38126,北九州市八幡東区,枝光,1944-11-20,ビルマ,ビルマ方面
38127,北九州市八幡東区,枝光,1944-06-24,鹿児島沖,その他国内
38128,北九州市八幡東区,枝光,1944-07-27,ビルマ,ビルマ方面
38129,北九州市八幡東区,枝光,1945-06-05,ビルマ,ビルマ方面
38130,北九州市八幡東区,枝光,1945-04-07,南西諸島海域,沖縄
38131,北九州市八幡東区,枝光,1945-04-18,南九州方面,その他国内
38132,北九州市八幡東区,枝光,1945-01-29,"台
湾",台湾
38133,北九州市八幡東区,枝光,1945-12-05,中國,中国
38135,北九州市八幡東区,枝光,1945-08-04,広島市,その他国内
38136,北九州市八幡東区,枝光,1945-03-03,ビルマ,ビルマ方面
38137,北九州市八幡東区,枝光,1944-08-02,南洋群島,ミクロネシア
38138,北九州市八幡東区,枝光,1945-06-05,フィリピン,フィリピン方面
38139,北九州市八幡東区,枝光,1944-12-29,パラオ島,パラオ諸島
38140,北九州市八幡東区,枝光,1945-08-01,ルソン島,フィリピン方面
38141,北九州市八幡東区,枝光,1942-02-02,ガダルカナル島,ソロモン・ビスマルク諸島
38142,北九州市八幡東区,枝光,1945-02-28,ビルマ,ビルマ方面
38143,北九州市八幡東区,枝光,1938-05-01,杭州野戦病院,中国
38144,北九州市八幡東区,枝光,1945-03-14,ビルマ,ビルマ方面
38145,北九州市八幡東区,枝光,1943-11-11,フィリピン,フィリピン方面
38146,北九州市八幡東区,枝光,1946-04-27,湖南省,中国
38147,北九州市八幡東区,枝光,1944-02-19,ニューギニア方面,ニューギニア方面
38148,北九州市八幡東区,枝光,1945-04-20,ニューギニア,ニューギニア方面
38149,北九州市八幡東区,枝光,1944-04-25,印度アッサム州,インド方面
38150,北九州市八幡東区,枝光,1944-11-25,比島,フィリピン方面
38152,北九州市八幡東区,枝光,1944-11-17,東シナ海,東シナ海
38153,北九州市八幡東区,枝光,1945-04-15,ビルマ,ビルマ方面
38154,北九州市八幡東区,枝光,1941-12-26,南方方面,太平洋方面
38156,北九州市八幡東区,枝光,1942-11-02,上海,中国
38159,北九州市八幡東区,枝光,1945-03-14,"硫黄
島",硫黄島
38160,北九州市八幡東区,枝光,1946-02-12,小倉陸軍病院,福岡県内
38161,北九州市八幡東区,枝光,1942-11-10,ガダルカナル島,ソロモン・ビスマルク諸島
38162,北九州市八幡東区,枝光,1945-05-25,沖縄,沖縄
38163,北九州市八幡東区,枝光,1939-10-11,北支,中国
38164,北九州市八幡東区,枝光,1944-09-02,ボルネオ,ボルネオ
38166,北九州市八幡東区,枝光,1945-04-15,フィリピン,フィリピン方面
38167,北九州市八幡東区,枝光,1944-06-11,ビルマ,ビルマ方面
38168,北九州市八幡東区,枝光,1945-03-11,南洋群島方面,ミクロネシア
38169,北九州市八幡東区,枝光,1945-02-11,比島,フィリピン方面
38170,北九州市八幡東区,枝光,1944-08-23,台湾,台湾
38171,北九州市八幡東区,枝光,1945-06-10,沖縄,沖縄
38172,北九州市八幡東区,枝光,1946-09-12,満州,満州方面
38173,北九州市八幡東区,枝光,1945-01-28,東シナ海,東シナ海
